"id","year","quarter","state_name","num_blocks_surveyed","households","males_age_0_4_years","females_age_0_4_years","persons_age_0_4_years","males_age_5_14_years","females_age_5_14_years","persons_age_5_14_years","males_age_15_29_years","females_age_15_29_years","persons_age_15_29_years","males_age_15_59_years","females_age_15_59_years","persons_age_15_59_years","males_age_15_above_years","females_age_15_above_years","persons_age_15_above_years","males_all_ages","females_all_ages","persons_all_ages","state_code"
0,"2019","April-June","Andhra Pradesh",224.0,1761.0,200.0,155.0,355.0,437.0,369.0,807.0,842.0,894.0,1738.0,2123.0,2238.0,4366.0,2463.0,2574.0,5043.0,3100.0,3098.0,6205.0,"28"
1,"2019","April-June","Assam",111.0,888.0,94.0,88.0,182.0,243.0,197.0,440.0,460.0,430.0,890.0,1189.0,1146.0,2335.0,1363.0,1305.0,2668.0,1700.0,1590.0,3290.0,"18"
2,"2019","April-June","Bihar",168.0,1342.0,299.0,236.0,536.0,701.0,611.0,1312.0,991.0,896.0,1887.0,2082.0,1936.0,4019.0,2356.0,2186.0,4543.0,3356.0,3033.0,6391.0,"10"
3,"2019","April-June","Chhattisgarh",102.0,810.0,130.0,115.0,246.0,286.0,261.0,547.0,489.0,516.0,1005.0,1157.0,1174.0,2331.0,1298.0,1315.0,2613.0,1714.0,1691.0,3406.0,"22"
4,"2019","April-June","Delhi",120.0,911.0,116.0,102.0,219.0,263.0,229.0,492.0,615.0,455.0,1071.0,1313.0,1045.0,2360.0,1450.0,1195.0,2647.0,1829.0,1526.0,3358.0,"07"
5,"2019","April-June","Gujarat",215.0,1657.0,222.0,171.0,393.0,510.0,430.0,941.0,1048.0,880.0,1929.0,2436.0,2239.0,4676.0,2831.0,2667.0,5499.0,3563.0,3268.0,6833.0,"24"
6,"2019","April-June","Haryana",159.0,1238.0,212.0,157.0,369.0,443.0,363.0,806.0,849.0,656.0,1505.0,1846.0,1589.0,3435.0,2081.0,1830.0,3912.0,2736.0,2350.0,5087.0,"06"
7,"2019","April-June","Himachal Pradesh",48.0,381.0,45.0,31.0,76.0,101.0,87.0,188.0,179.0,138.0,317.0,432.0,388.0,820.0,488.0,445.0,933.0,634.0,563.0,1197.0,"02"
8,"2019","April-June","Jammu And Kashmir",180.0,1417.0,213.0,208.0,421.0,485.0,425.0,910.0,844.0,758.0,1602.0,2138.0,2027.0,4165.0,2488.0,2365.0,4854.0,3186.0,2998.0,6185.0,"01"
9,"2019","April-June","Jharkhand",136.0,1082.0,175.0,135.0,310.0,397.0,390.0,787.0,688.0,657.0,1346.0,1515.0,1483.0,3001.0,1719.0,1666.0,3388.0,2291.0,2191.0,4485.0,"20"
10,"2019","April-June","Karnataka",296.0,2334.0,349.0,271.0,620.0,636.0,574.0,1210.0,1255.0,1183.0,2438.0,2975.0,2868.0,5845.0,3445.0,3357.0,6804.0,4430.0,4202.0,8634.0,"29"
11,"2019","April-June","Kerala",304.0,2421.0,318.0,322.0,640.0,617.0,618.0,1235.0,947.0,1047.0,1994.0,2684.0,3166.0,5851.0,3462.0,4075.0,7539.0,4397.0,5015.0,9414.0,"32"
12,"2019","April-June","Madhya Pradesh",248.0,1975.0,327.0,289.0,616.0,690.0,589.0,1279.0,1362.0,1227.0,2590.0,3022.0,2797.0,5820.0,3383.0,3213.0,6597.0,4400.0,4091.0,8492.0,"23"
13,"2019","April-June","Maharashtra",552.0,4345.0,576.0,527.0,1103.0,1351.0,1198.0,2549.0,2469.0,2272.0,4742.0,5872.0,5597.0,11471.0,6820.0,6632.0,13454.0,8747.0,8357.0,17106.0,"27"
14,"2019","April-June","Odisha",135.0,1069.0,104.0,123.0,227.0,247.0,230.0,477.0,508.0,557.0,1065.0,1302.0,1375.0,2678.0,1519.0,1543.0,3063.0,1870.0,1896.0,3767.0,"21"
15,"2019","April-June","Punjab",208.0,1655.0,273.0,221.0,494.0,536.0,471.0,1007.0,978.0,846.0,1824.0,2356.0,2153.0,4511.0,2703.0,2487.0,5192.0,3512.0,3179.0,6693.0,"03"
16,"2019","April-June","Rajasthan",216.0,1702.0,319.0,268.0,587.0,650.0,570.0,1220.0,1252.0,1124.0,2376.0,2651.0,2475.0,5126.0,3001.0,2842.0,5844.0,3970.0,3680.0,7651.0,"08"
17,"2019","April-June","Tamil Nadu",438.0,3476.0,360.0,343.0,703.0,767.0,667.0,1434.0,1559.0,1539.0,3098.0,3985.0,4170.0,8155.0,4703.0,4924.0,9628.0,5830.0,5934.0,11765.0,"33"
18,"2019","April-June","Telangana",198.0,1565.0,184.0,178.0,363.0,408.0,375.0,783.0,863.0,850.0,1713.0,2001.0,1976.0,3978.0,2280.0,2221.0,4502.0,2872.0,2774.0,5648.0,"36"
